,item_code,item_name,buying_price,selling_price,all_stock,in_stock
1,FSL001,NORMAL PROTECTORS,20,100,57,57
2,FSL002,21D PROTECTORS,25,200,160,160
3,FSL003,MIRROR  PROTECTORS,100,400,8,8
4,FSL004,OG  PROTECTORS,0,0,0,0
5,FSL005,PRIVACY  PROTECTORS,100,500,10,10
6,FSL006,CIRAMIC  PROTECTORS,100,500,10,10
7,FSL007,CHARGER  AMAYA  TYPE C,250,600,1,1
8,FSL008,CHARGER  AMAYA   NORMAL,200,400,1,1
9,FSL009,CHARGER  SAMSUNG TYPE C,200,600,2,2
10,FSL010,CHARGER  SAMSUNG NORMAL,150,500,4,4
11,FSL011,CHARGER  YOURCUSE ,150,500,4,4
12,FSL012,CHARGER  EXCELLENT ,150,400,1,1
13,FSL013,CHARGER ORAIM0 TYPE C,250,600,2,2
14,FSL014,CHARGER ORAIM0  NORMAL 6A,200,500,3,3
15,FSL015,CHARGER ORAIM0 NORMAL 2A,200,400,3,3
16,FSL016,CHARGER ALDEEPO TYPE C,150,600,5,5
17,FSL017,CHARGER ALDEEPO N0RMAL,150,400,5,5
18,FSL018,CHARGER  TBTT NORMAL,150,400,2,2
19,FSL019,CHARGER  YBTT TYPE C,150,600,0,0
20,FSL020,HEADER SAMSUNG  25W,200,1000,8,8
21,FSL021,HEADER SAMSUNG 45W,300,1250,4,4
22,FSL022,CABLE ALDEEPO TYPE C,150,500,5,5
23,FSL023,CABLE ALDEEPO NOMAL,100,400,5,5
24,FSL024,CABLE  MDW IPHONE ,150,500,2,2
25,FSL025,CABLE  SAMSUNG C2C,150,500,5,5
26,FSL026,CABLE SAMSUNG TYPE C,100,400,5,5
27,FSL027,CABLE AMAYA TYPE C,150,400,4,4
28,FSL028,CABLE AMAYA NORMAL,100,300,5,5
29,FSL029,CABLE NYLON TYPE C,100,400,1,1
30,FSL030,CABLE NYLON NORMAL,100,300,1,1
31,FSL031,CABLE ORAIM0  TYPE C,100,400,4,4
32,FSL032,CABLE ORAIM0 NORMAL,100,300,6,6
33,FSL033,CABLE BRAIDED TYP C,100,500,8,8
34,FSL034,CABLE 2 IN 2 IPHONE/C2C,200,500,6,6
35,FSL035,EARPHONES OFIA X-19,100,350,4,4
36,FSL036,EARPHONES KIM K802/821,100,350,3,3
37,FSL037,EARPHONES RXD,50,250,3,3
38,FSL038,EARPHONES  K84,50,350,2,2
39,FSL039,EARPHONES 0RAIMO AIRY TUNE,150,350,2,2
40,FSL040,EARPHONES ORAIM0 DEEPER BASS,150,350,3,3
41,FSL041,EARPHONES ORAIM0 STRONG BASS,150,350,3,3
42,FSL042,EARPODS SAMSUNG,0,0,0,0
43,FSL043,EARPODS  ORAIMO 12PRO ,500,1000,2,2
44,FSL044,EARPODS ORAIMO F9 PRO,500,1000,2,2
45,FSL045,EARPODS  ITEL,600,1000,2,2
46,FSL046,EARPODS I16MAX,300,800,1,1
47,FSL047,EARPODS XX,300,800,2,2
